Part,Division,Subdivision,Clause,Clause Title,Start Page,End Page,Full Reference,Type,Text
Part 4—Building permits,Division 4—Building permits,,36A,Manner in which relevant building surveyor may be satisfied of builder's insurance details,50,51,Part 4—Building permits > Division 4—Building permits > 36A,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
34 
  
 
36 Maximum fees for report and consent 
 
(1) The maximum fee payable for the consideration 
by a responsible authority under the Planning and 
Environment Act 1987 as a reporting authority of 
an application for a building permit for demolition 
of a building referred to the reporting authority 
under section 29A of the Act for report and 
consent is 5·75 fee units. 
 
(2) The maximum fee payable for the consideration 
by the relevant council of an application for a 
building permit referred to it under regulation 
132(1) or 134(2) or Part 6 or 10 is 19⸱61 fee units. 
 
(2A) The maximum fee payable for the consideration 
by the relevant council of an application for a 
building permit referred to it under Part 5 is 27⸱45 
fee units. 
 
(3) The maximum fee payable for the consideration 
by the relevant council of an application for a 
building permit referred to it under regulation 
116(4) for report and consent is 19·9 fee units. 
 
(4) The maximum fee payable for the consideration 
by the relevant council of an application for a 
building permit referred to it under regulation 
133(2) for report and consent is 14⸱17 fee units. 
Division 4—Building permits 
 
36A Manner in which relevant building surveyor may be 
satisfied of builder's insurance details 
For the purposes of section 24A(2) of the Act, the 
relevant building surveyor may be satisfied of the 
matters in section 24A(1)(c)(i) of the Act by 
examining— 
 
 
Reg. 36(2) 
substituted by 
S.R. No. 
59/2024 
reg. 6(1). 
Reg. 36(2A) 
inserted by 
S.R. No. 
59/2024 
reg. 6(1). 
Reg. 36(4) 
amended by 
S.R. No. 
59/2024 
reg. 6(2). 
Reg. 36A 
inserted by 
S.R. No. 
75/2018 reg. 6."
Part 4—Building permits,Division 4—Building permits,,36B,Specification of builders in relation to specific building work,51,51,Part 4—Building permits > Division 4—Building permits > 36B,Clause,
Part 4—Building permits,Division 4—Building permits,,37,Issue of building permit,51,51,Part 4—Building permits > Division 4—Building permits > 37,Clause,
Part 4—Building permits,Division 4—Building permits,,38,Building surveyor to document determination of performance solution,51,52,Part 4—Building permits > Division 4—Building permits > 38,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
35 
  
 
(a) an extract of the major domestic building 
contract showing the names of the parties 
to the contract in relation to the proposed 
building work; and 
 
(b) a copy of the certificate of insurance from 
an insurer providing the required insurance 
in relation to the proposed building work. 
 
36B Specification of builders in relation to specific 
building work 
For the purposes of paragraph (a) of the definition 
of prescribed amount in subsection 24B(8) of the 
Act, the amount is $10 000. 
 
37 Issue of building permit 
 
(1) A building permit must be in the form of Form 2. 
 
(2) A building permit must be signed by the relevant 
building surveyor. 
 
(3) The relevant building surveyor must include on 
the building permit— 
 
(a) the commencement date and completion 
date of the building work; and 
 
(b) the mandatory notification stages for 
inspecting that building work. 
 
38 Building surveyor to document determination of 
performance solution 
The relevant building surveyor must record 
the following in writing if the relevant building 
surveyor determines that a performance solution 
meets a performance requirement of the BCA in 
relation to proposed building work— 
 
(a) the performance requirement with which the 
performance solution complies;  
Reg. 36B 
inserted by 
S.R. No. 
75/2018 reg. 6."
Part 4—Building permits,Division 4—Building permits,,39,Building surveyor to provide copy of permit,52,52,Part 4—Building permits > Division 4—Building permits > 39,Clause,
Part 4—Building permits,Division 4—Building permits,,40,"Applicant to make documents, permit available",52,53,Part 4—Building permits > Division 4—Building permits > 40,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
36 
  
 
(b) details of any one or more of the following 
that the relevant building surveyor uses or 
relies on in making the determination— 
 
(i) the assessment method or methods; 
 
(ii) the details of any expert judgement; 
 
(iii) the details of any tests or calculations; 
 
(iv) the details of any standards or other 
information. 
 
39 Building surveyor to provide copy of permit 
 
(1) The relevant building surveyor must within 
7 days after issuing a building permit give to the 
applicant for the building permit— 
 
(a) a copy of the permit; and 
 
(b) 2 copies of the plans, specifications and 
other documents (except for computations 
or reports) lodged with the application 
(whether or not with amendments) with 
evidence of approval stamped and endorsed 
on them. 
 
(2) The relevant building surveyor must give a copy 
of a building permit within 7 days after the issue 
of the permit to— 
 
(a) the builder named in the permit; and 
 
(b) the owner of the allotment to which the 
permit relates if the owner did not apply 
for the permit. 
 
40 Applicant to make documents, permit available 
An applicant for a building permit must provide a 
copy of the permit and one copy of any documents 
given to the applicant under regulation 39(1)(b) to 
the builder named in the building permit."
Part 4—Building permits,Division 4—Building permits,,41,Provision and display of permit information,53,53,Part 4—Building permits > Division 4—Building permits > 41,Clause,
Part 4—Building permits,Division 4—Building permits,,42,Owner to notify of change of details or owner,53,54,Part 4—Building permits > Division 4—Building permits > 42,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
37 
  
 
41 Provision and display of permit information 
 
(1) The builder named in the building permit must 
ensure that a copy of the building permit and one 
copy of each document given to the builder under 
regulation 40 are available for inspection at the 
allotment while the building work to which the 
building permit applies is being carried out on that 
allotment. 
Penalty: 10 penalty units. 
 
(2) The builder named in the building permit must 
ensure that— 
 
(a) the following information is displayed on 
the allotment to which the permit relates in a 
conspicuous position accessible to the public 
before the commencement of the building 
work to which the permit applies (including 
demolition or removal of a building on the 
allotment)— 
 
(i) the registration numbers and contact 
details of the builder and the relevant 
building surveyor; 
 
(ii) the building permit number and the 
date of issue of the permit; and 
 
(b) the information referred to in paragraph (a) 
continues to be displayed and remains visible 
and legible for the duration of the building 
work. 
Penalty: 10 penalty units. 
 
42 Owner to notify of change of details or owner 
An owner of a building or land to which a 
building permit relates must notify the relevant 
building surveyor within 14 days after— 
 
(a) any change— 
 
(i) in the name of the owner; or 
Reg. 42 
substituted by 
S.R. No. 
75/2018 reg. 7."
Part 4—Building permits,Division 4—Building permits,,43,Builder to notify change of name or address,54,54,Part 4—Building permits > Division 4—Building permits > 43,Clause,
Part 4—Building permits,Division 5—Duties of building surveyor,,,Division 5—Duties of building surveyor,54,54,Part 4—Building permits > Division 5—Duties of building surveyor,Division,
Part 4—Building permits,Division 5—Duties of building surveyor,,44,Documents to be given to council,54,57,Part 4—Building permits > Division 5—Duties of building surveyor > 44,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
38 
  
 
(ii) in the postal address of the owner; or 
 
(iii) in the address for serving or giving 
documents to the owner; or 
 
(b) the owner has transferred the ownership in 
the building or land.  
Penalty: 10 penalty units. 
 
43 Builder to notify change of name or address 
A building practitioner registered under Part 11 of 
the Act who is, or is to be, specified as the builder 
in a building permit must notify the owner of a 
building or land to which the building permit 
relates and the relevant building surveyor within 
14 days after any change in the name or address of 
the building practitioner specified in the permit. 
Penalty: 10 penalty units. 
Division 5—Duties of building surveyor 
 
44 Documents to be given to council 
 
(1) The following documents are prescribed for the 
purposes of section 30(1A) of the Act— 
 
(aa) a notice given to the relevant building 
surveyor under section 25AA(1) of the Act; 
 
 
(a) a notice given to the relevant building 
surveyor under section 25A(2) of the Act; 
 
 
(b) a notice given to the relevant building 
surveyor under section 25AB(2) of the Act; 
 
 
* 
* 
* 
* 
* 
 
 
Reg. 44(1)(aa) 
inserted by 
S.R. No. 
40/2019 reg. 7. 
Reg. 44(1)(a) 
amended by 
S.R. No. 
75/2018 
reg. 8(1). 
Reg. 44(1)(b) 
amended by 
S.R. No. 
75/2018 
reg. 8(2). 
Reg. 44(1)(c) 
revoked by 
S.R. No. 
75/2018 
reg. 8(3). 
 
Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
39 
  
 
(d) a determination made by the relevant 
building surveyor under regulation 111(2); 
 
(e) a notice served on the relevant building 
surveyor under section 84(1) of the Act; 
 
(f) a notice given to the relevant building 
surveyor under section 85(1)(b) of the Act; 
 
(g) a determination of the relevant building 
surveyor under section 87(1) of the Act; 
 
(h) any determination of the Building Appeals 
Board; 
 
(i) a report and consent of a reporting authority 
prescribed under regulation 30; 
 
(j) a record under regulation 38 of a 
determination of the relevant building 
surveyor that a performance solution meets 
a performance requirement of the BCA; 
 
(k) a determination of the municipal building 
surveyor or a private building surveyor 
exercising the functions of a municipal 
building surveyor under regulation 64(1); 
 
(l) a document setting out any requirement 
of the relevant building surveyor under 
regulation 116 to take precautions to protect 
the safety of the public; 
 
(m) any certificate issued under section 238 
of the Act on which the relevant building 
surveyor has relied together with any 
record of a building practitioner made 
under regulation 124(1) that relates to the 
certificate; 
 
(n) any exemption from, or consent to partial 
compliance with, certain requirements of 
these Regulations relating to a building or 
building work that has been given by the 
municipal building surveyor or a private 
 
Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
40 
  
building surveyor exercising the functions 
of a municipal building surveyor under 
regulation 229(2) or 231(2) or by the 
relevant building surveyor under regulation 
233(3) or 234(2); 
 
(o) any document required by the relevant 
building surveyor under clause 2 of 
Schedule 2 to the Act; 
 
(p) a copy of any permit required for the 
construction, installation or alteration of 
a septic tank system issued under section 
53M(5) of the Environment Protection 
Act 1970 if the building work to which the 
permit applies involves such construction, 
installation or alteration. 
 
(2) The prescribed time for the purposes of section 
30(1A) of the Act in relation to a document 
prescribed in subregulation (1) is 7 days after 
the issue of the building permit. 
 
(3) The following documents are prescribed for the 
purposes of section 30(1A) of the Act in relation 
to a building permit for which an occupancy 
permit is not required— 
 
(aa) a notice given to the relevant building 
surveyor under section 25AA(1) of the Act; 
 
 
(a) a notice given to the relevant building 
surveyor under section 25A(2) of the Act; 
 
(b) a notice given to the relevant building 
surveyor under section 25AB(2) of the Act. 
 
(4) The prescribed time for the purposes of section 
30(1A) of the Act in relation to a document 
prescribed in subregulation (3) is 7 days after the 
relevant building surveyor issues a certificate of 
final inspection in relation to the building work. 
Reg. 44(2) 
amended by 
S.R. No. 
75/2018 
reg. 8(4). 
Reg. 44(3) 
inserted by 
S.R. No. 
75/2018 
reg. 8(5). 
Reg. 44(3)(aa) 
inserted by 
S.R. No. 
40/2019 reg. 7. 
Reg. 44(4) 
inserted by 
S.R. No. 
75/2018 
reg. 8(5)."
Part 4—Building permits,Division 5—Duties of building surveyor,,45,Lodgement fees,57,57,Part 4—Building permits > Division 5—Duties of building surveyor > 45,Clause,
Part 4—Building permits,Division 5—Duties of building surveyor,,47,Information the relevant building surveyor must give to the Authority,57,60,Part 4—Building permits > Division 5—Duties of building surveyor > 47,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
41 
  
 
45 Lodgement fees 
 
(1) For the purposes of clause 1(d) of Schedule 2 
to the Act, the prescribed lodgement fee for the 
lodging of documents by the relevant building 
surveyor under section 30 of the Act is 8·23 fee 
units. 
 
(2) Despite subregulation (1), no lodgement fee is 
payable for lodging documents in relation to an 
application for a building permit that relates to a 
class of building referred to in regulation 281. 
 
* 
* 
* 
* 
* 
 
 
 
47 Information the relevant building surveyor must 
give to the Authority 
 
(1) A relevant building surveyor must within 7 days 
after the end of each month give to the Authority 
in a form approved by the Authority— 
 
(a) details of all permits and certificates of final 
inspection issued by the relevant building 
surveyor during that month; and 
 
(b) the following details relating to the building 
work to which each building permit issued 
by the relevant building surveyor during that 
month applies, including— 
 
(i) whether any of the building work will 
be carried out in a designated bushfire 
prone area determined under section 
192A of the Act and the applicable 
bushfire attack level determined for the 
site; 
 
(ii) whether the building work relates to a 
change of use of a building; 
Reg. 46 
revoked by 
S.R. No. 
40/2019 reg. 8. 
Reg. 47(1)(b)(i) 
amended by 
S.R. Nos 
75/2018 
reg. 9(1), 
180/2018 
reg. 4. 
 
Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
42 
  
 
(iii) whether the building work involves the 
construction of a private bushfire 
shelter; and 
 
 
(c) details of any notice given to the relevant 
council under section 80A(3)(a) or (4)(a) 
of the Act during that month, if the relevant 
building surveyor is a registered body 
corporate. 
 
(2) In addition to the details under subregulation (1), 
on and from 1 July 2019, the relevant building 
surveyor must within 7 days after the end of each 
month give to the Authority in a form approved by 
the Authority the following details relating to the 
building work to which each building permit 
issued by the relevant building surveyor during 
that month applies— 
 
(a) whether an occupancy permit is required in 
relation to the building work; 
 
(b) the mandatory notification stages for the 
building work set out under Part 12; 
 
(c) whether the building work is to be carried 
out on land that is subject to a determination 
under regulation 64(1); 
 
(d) whether any exemption from, or consent to 
partial compliance with, certain requirements 
of these Regulations relating to the building 
work has been given by the relevant building 
surveyor under regulation 229(2), 231(2), 
233(3) or 234(2); 
 
(e) whether the building work involves the 
construction of a swimming pool or spa 
or an associated safety barrier; 
 
Reg. 
47(1)(b)(iii) 
amended by 
S.R. No. 
75/2018 
reg. 9(2). 
Reg. 47(1)(c) 
inserted by 
S.R. No. 
75/2018 
reg. 9(3). 
 
Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
43 
  
 
(f) whether the relevant building surveyor 
determined under regulation 111(2) that 
protection work is required in relation to 
the building work. 
 
(3) The relevant building surveyor must, within 
7 days after the end of each month, give to the 
Authority in a form approved by the Authority 
the following details in relation to any building 
permit issued by the relevant building surveyor— 
 
(a) any lapse of a building permit during that 
month; 
 
(b) details to the knowledge of the relevant 
building surveyor of any building work to 
which the permit applies that is commenced, 
completed or abandoned during that month. 
 
(4) In addition to the details under subregulation (3), 
on and from 1 July 2019, the relevant building 
surveyor must within 7 days after the end of each 
month give to the Authority in a form approved by 
the Authority the following details relating to any 
building permit issued by the relevant building 
surveyor— 
 
(a) any extension granted during that month 
by the relevant building surveyor under 
regulation 59 to the commencement date 
or completion date of the building work to 
which the permit applies and the new dates; 
 
(b) any inspection of building work to which the 
permit applies at a mandatory notification 
stage under section 34 of the Act; 
 
(c) any determination by the relevant building 
surveyor that protection work is required in 
relation to building work to which the permit 
applies under regulation 111(3)."
Part 4—Building permits,Division 5—Duties of building surveyor,,47A,Relevant building surveyor must notify Authority and relevant council of certain information,60,61,Part 4—Building permits > Division 5—Duties of building surveyor > 47A,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
44 
  
 
47A Relevant building surveyor must notify Authority 
and relevant council of certain information 
 
(1) For the purposes of section 25AD(1) of the Act, 
the following events are prescribed— 
 
(a) the builder named in a building permit ceases 
to be engaged to carry out the building work 
to which the permit relates; 
 
(b) the relevant building surveyor changes the 
builder named on a building permit. 
 
(2) For the purposes of section 25AD(1) of the Act, 
the following information is prescribed— 
 
(a) if the builder named in a building permit 
ceases to be engaged to carry out building 
work to which the permit relates— 
 
(i) the building permit number; and 
 
(ii) the address of the building or land to 
which the building permit relates; and 
 
(iii) the builder named in the building 
permit; and 
 
(iv) the day that the builder named in the 
building permit ceased to be engaged 
to carry out the building work; 
 
(b) if the relevant building surveyor changes the 
builder named on a building permit— 
 
(i) the building permit number; and 
 
(ii) the address of the building or land to 
which the building permit relates; and 
 
(iii) the name of the builder named in the 
building permit and the builder's 
registration number (if applicable); and 
 
(iv) the day on which the relevant building 
surveyor changed the name of the 
builder named in the building permit. 
Reg. 47A 
inserted by 
S.R. No. 
75/2018 
reg. 10."
Part 4—Building permits,Division 5—Duties of building surveyor,,48,Guarantees and bonds,61,61,Part 4—Building permits > Division 5—Duties of building surveyor > 48,Clause,
Part 4—Building permits,Division 6—Duties of council,,,Division 6—Duties of council,61,61,Part 4—Building permits > Division 6—Duties of council,Division,
Part 4—Building permits,Division 6—Duties of council,,49,Period that documents must be kept,61,62,Part 4—Building permits > Division 6—Duties of council > 49,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
45 
  
 
48 Guarantees and bonds 
 
(1) The prescribed circumstances for the purposes of 
section 22 of the Act are the demolition, removal 
or re-erection of a building. 
 
(2) For the purposes of section 22(a) and (b) of the 
Act, the amount of the bond or the amount in 
respect of which an undertaking and guarantee is 
given (as the case requires)— 
 
(a) in the case of the demolition or removal of a 
building, must not exceed the lesser of— 
 
(i) the estimated cost of building work to 
which the building permit applies; or 
 
(ii) the sum of $100 for every 1 m2 of floor 
area of the building; and 
 
(b) in the case of the re-erection of a building, 
must not exceed the lesser of— 
 
(i) the estimated cost of the building work 
to which the building permit applies; or 
 
(ii) $10 000. 
Division 6—Duties of council 
 
49 Period that documents must be kept 
If a council is required to keep documents under 
the Act or these Regulations or any corresponding 
previous regulations in relation to building 
permits and applications for building permits, 
including documents relating to protection work, 
the documents must be kept in any manner 
specified by the Keeper of Public Records until 
the building is demolished or removed from the 
allotment."
Part 4—Building permits,Division 6—Duties of council,,50,Relevant council to make documents available on request,62,62,Part 4—Building permits > Division 6—Duties of council > 50,Clause,
Part 4—Building permits,Division 6—Duties of council,,51,Requests for information from relevant council,62,63,Part 4—Building permits > Division 6—Duties of council > 51,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
46 
  
 
50 Relevant council to make documents available on 
request 
On the request of an owner or mortgagee of the 
building or land, or a person authorised in writing 
by an owner or mortgagee of a building or land, 
the relevant council must provide the person 
making the request with a copy of any documents 
submitted with an application for a building 
permit in relation to the building or land. 
 
51 Requests for information from relevant council 
 
(1) Any person may request the relevant council to 
provide in relation to any building or land— 
 
(a) details of any permit or certificate of final 
inspection issued in the preceding 10 years; 
and 
 
(b) details of any current determination made 
under regulation 64(1) or exemption granted 
under regulation 231(2); and 
 
(c) details of any current notice or order issued 
by the relevant building surveyor under the 
Act. 
 
(2) Any person may request the relevant council to 
provide in relation to any building or land details 
as to whether the building or land is— 
 
(a) in an area that is liable to flooding within the 
meaning of regulation 5(2); or 
 
(b) in an area that is designated under 
regulation 150 as an area in which buildings 
are likely to be subject to attack by termites; 
or 
 
(c) in an area for which a bushfire attack level 
has been specified in a planning scheme; or"
Part 4—Building permits,Division 6—Duties of council,,52,Fees for requests for information,63,63,Part 4—Building permits > Division 6—Duties of council > 52,Clause,
Part 4—Building permits,Division 7—Time limits for building work and permits,,,Division 7—Time limits for building work and permits,63,63,Part 4—Building permits > Division 7—Time limits for building work and permits,Division,
Part 4—Building permits,Division 7—Time limits for building work and permits,,53,Commencement of work,63,63,Part 4—Building permits > Division 7—Time limits for building work and permits > 53,Clause,
Part 4—Building permits,Division 7—Time limits for building work and permits,,54,Completion of building work,63,64,Part 4—Building permits > Division 7—Time limits for building work and permits > 54,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
47 
  
 
(d) in an area designated under regulation 152 as 
likely to be subject to significant snowfalls; 
or 
 
(e) designated land; or 
 
(f) designated works. 
 
(3) An owner or mortgagee of a building or land, or 
a prescribed building practitioner reporting on 
a building under section 137B of the Act, may 
request the relevant council to provide the 
approved dates of the inspections carried out 
of the mandatory notification stages of building 
work carried out on the building or land. 
 
52 Fees for requests for information 
The fee for the provision of information under 
regulation 51(1), (2) or (3) is 3·19 fee units. 
Division 7—Time limits for building work 
and permits 
 
53 Commencement of work 
If a building permit is issued, the building work 
must commence— 
 
(a) in the case of the re-erection of a Class 1 
or 10 building, within 6 months of the date 
of issue of the building permit; or 
 
(b) in any other case, within 12 months of the 
date of issue of the building permit. 
 
54 Completion of building work 
(1) If a building permit is issued, the building work 
must be completed— 
 
(a) in the case of a building permit to re-erect a 
building, within 12 months after the date of 
issue of the building permit; or 
Reg. 51(2)(d) 
amended by 
S.R. No. 
40/2019 reg. 9."
Part 4—Building permits,Division 7—Time limits for building work and permits,,55,Lapsing of building permit,64,65,Part 4—Building permits > Division 7—Time limits for building work and permits > 55,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
48 
  
 
(b) in the case of a Class 1 or 10 building, 
within 24 months after the date of issue 
of the building permit; or 
 
(c) in the case of a swimming pool or spa or any 
associated barrier or safety equipment— 
 
(i) if the building work is being carried 
out on an allotment concurrently 
with other building work that is being 
carried out on the same allotment, 
within the period of completion for 
the other building work referred to in 
paragraph (a), (b) or (d) (as the case 
requires); or 
 
(ii) in any other case, within 6 months after 
the building work commences; or 
 
(d) in any other case, within 36 months of the 
date of issue of the building permit. 
 
(2) If building work is to be completed in more than 
one stage and more than one building permit 
is issued in relation to that building work, a 
reference in subregulation (1) to the date of issue 
of a building permit is taken to be a reference to 
the date of issue of the first of those building 
permits. 
 
55 Lapsing of building permit 
 
(1) A building permit lapses if the building work 
to which the permit applies has not commenced 
by the last day of the period within which the 
work must commence under regulation 53 
(the commencement date). 
 
(2) A building permit lapses if the building work to 
which the permit applies is not completed by the 
last day of the period within which the work must 
be completed under regulation 54 (the completion 
date)."
Part 4—Building permits,Division 7—Time limits for building work and permits,,56,Notice of imminent lapse of building permit—commencement of work,65,65,Part 4—Building permits > Division 7—Time limits for building work and permits > 56,Clause,
Part 4—Building permits,Division 7—Time limits for building work and permits,,57,Notice of imminent lapse of building permit—completion of work,65,65,Part 4—Building permits > Division 7—Time limits for building work and permits > 57,Clause,
Part 4—Building permits,Division 7—Time limits for building work and permits,,58,Copy of notice of imminent lapse of building permit to be provided,65,66,Part 4—Building permits > Division 7—Time limits for building work and permits > 58,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
49 
  
 
(3) A building permit that has lapsed is no longer 
in force for the purposes of the Act and these 
Regulations. 
 
56 Notice of imminent lapse of building permit—
commencement of work 
If, immediately before 30 days before the 
commencement date of building work including 
any extension to that date granted under 
regulation 59, the relevant building surveyor 
has not carried out an inspection of the first 
mandatory notification stage of the work under 
section 34 of the Act, the relevant building 
surveyor must, without delay, give a notice in the 
form of Form 3 to the applicant for the building 
permit that applies to the building work of the 
date on which the building permit will lapse 
under regulation 55. 
 
57 Notice of imminent lapse of building permit—
completion of work 
If, immediately before 30 days before the 
completion date of building work including any 
extension to that date granted under regulation 59, 
the relevant building surveyor has not carried out 
an inspection of the final mandatory notification 
stage of the work under section 34 of the Act, the 
relevant building surveyor must, without delay, 
give a notice in the form of Form 4 to the 
applicant for the building permit that applies to 
the building work of the date on which the 
building permit will lapse under regulation 55. 
 
58 Copy of notice of imminent lapse of building permit 
to be provided 
Within 7 days after a notice is issued under 
regulation 56 or 57, the relevant building surveyor 
must cause a copy of the notice to be given to—"
Part 4—Building permits,Division 7—Time limits for building work and permits,,59,Extension of building permit,66,66,Part 4—Building permits > Division 7—Time limits for building work and permits > 59,Clause,
Part 4—Building permits,Division 8—Combined allotments,,,Division 8—Combined allotments,66,66,Part 4—Building permits > Division 8—Combined allotments,Division,
Part 4—Building permits,Division 8—Combined allotments,,60,Application to treat a combined allotment as one allotment,66,67,Part 4—Building permits > Division 8—Combined allotments > 60,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
50 
  
 
(a) the owner, if the applicant for the relevant 
building permit is not the owner; and 
 
(b) the builder who is specified as the builder in 
the building permit subject to the notice of 
imminent lapse. 
 
59 Extension of building permit 
 
(1) An application for an extension of the 
commencement date or the completion date of 
building work may be made in writing to the 
relevant building surveyor by the applicant for the 
building permit applying to the building work. 
 
(2) An application under subregulation (1) must be 
made before the commencement date or the 
completion date (as the case requires). 
 
(3) The relevant building surveyor may extend the 
commencement date or completion date of the 
building work prior to the lapse of a building 
permit if the relevant building surveyor considers 
that the extent of the building work warrants an 
extension. 
 
(4) If any extension is granted under subregulation 
(3), the relevant building surveyor must notify the 
applicant without delay— 
 
(a) that the extension has been granted; and 
 
(b) the new commencement date or completion 
date of the building work (as the case 
requires). 
Division 8—Combined allotments 
 
60 Application to treat a combined allotment as one 
allotment 
 
(1) An application may be made to the municipal 
building surveyor of the relevant council to treat 
a combined allotment as one allotment for the 
purposes of the Act and these Regulations by the"
Part 4—Building permits,Division 8—Combined allotments,,61,Information to be contained in or documents to accompany application,67,68,Part 4—Building permits > Division 8—Combined allotments > 61,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
51 
  
owner, or owners, of the land in the combined 
allotment. 
 
(2) An application under subregulation (1) must 
contain the information set out in regulation 61(1) 
and be accompanied by the documents set out in 
regulation 61(2). 
 
61 Information to be contained in or documents to 
accompany application 
 
(1) An application under regulation 60(1) must 
contain— 
 
(a) a description of any proposed building 
work on the combined allotment to which 
the application applies; and 
 
(b) a description of any building on the 
combined allotment to which the application 
applies; and 
 
(c) a description of how any proposed building 
work described under paragraph (a)— 
 
(i) will impact on the structural adequacy 
of any building on the combined 
allotment to which the application 
applies; and 
 
(ii) makes reasonable provision for the 
amenity of any building on the 
combined allotment to which the 
application applies; and 
 
(iii) makes reasonable provision for the 
safety and health of people using any 
building on the combined allotment to 
which the application applies; and 
 
(iv) makes reasonable provision for 
avoiding the spread of fire to or from 
any adjoining building on the combined 
allotment."
Part 4—Building permits,Division 8—Combined allotments,,62,Building surveyor may request more information,68,68,Part 4—Building permits > Division 8—Combined allotments > 62,Clause,
Part 4—Building permits,Division 8—Combined allotments,,63,Application may be refused if information not provided,68,69,Part 4—Building permits > Division 8—Combined allotments > 63,Clause,"Authorised by the Chief Parliamentary Counsel 
Part 4—Building permits 
 
 
 
Building Regulations 2018 
S.R. No. 38/2018 
52 
  
 
(2) An application under regulation 60(1) must be 
accompanied by— 
 
(a) if any land in the combined allotment is 
under the operation of the Transfer of Land 
Act 1958, a copy of the certificate of title to 
the land; and 
 
(b) if any land in the combined allotment is not 
under the operation of the Transfer of Land 
Act 1958, any evidence of ownership of the 
land required by the municipal building 
surveyor; and 
 
(c) copies of drawings and allotment plans that 
clearly differentiate between any existing 
building on the combined allotment and any 
proposed building work on the combined 
allotment to which the application applies. 
 
62 Building surveyor may request more information 
The municipal building surveyor may require 
an applicant under regulation 60(1) to provide 
additional information or documents within 
a specified period if the municipal building 
surveyor considers it is necessary for the purposes 
of making a determination under regulation 64. 
 
63 Application may be refused if information not 
provided 
 
(1) If information or a document required under 
regulation 62 is not provided within the period 
specified by the municipal building surveyor, 
the municipal building surveyor may refuse the 
application. 
 
(2) Before refusing an application under 
subregulation (1), the municipal building 
surveyor must give the applicant 30 days 
notice in writing of the municipal building 
surveyor's intention to refuse the application."
